Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
13.03.2020 00:00:00;Oberösterreich;4;1512226;34;107;106;7,009534;0;0;0;0
13.03.2020 00:00:00;Salzburg;5;564293;3;23;20;3,544258;0;0;0;1
13.03.2020 00:00:00;Steiermark;6;1256890;24;65;59;4,694126;0;0;0;0
13.03.2020 00:00:00;Tirol;7;766492;68;185;178;23,22268;0;0;0;2
13.03.2020 00:00:00;Vorarlberg;8;403203;9;28;25;6,200351;0;0;0;0
13.03.2020 00:00:00;Wien;9;1951354;15;80;55;2,818556;0;1;0;3
13.03.2020 00:00:00;Österreich;10;9027999;181;588;513;5,682323;0;1;0;7
14.03.2020 00:00:00;Burgenland;1;299235;1;12;8;2,673484;0;0;0;0
14.03.2020 00:00:00;Kärnten;2;566166;2;9;6;1,05976;0;0;1;1
14.03.2020 00:00:00;Niederösterreich;3;1708140;30;112;81;4,742;0;0;0;1
14.03.2020 00:00:00;Oberösterreich;4;1512226;50;157;150;9,919152;0;0;1;1
14.03.2020 00:00:00;Salzburg;5;564293;16;39;34;6,025239;0;0;0;1
14.03.2020 00:00:00;Steiermark;6;1256890;19;84;76;6,046671;0;0;0;0
14.03.2020 00:00:00;Tirol;7;766492;25;210;202;26,35383;0;0;0;2
14.03.2020 00:00:00;Vorarlberg;8;403203;25;53;50;12,4007;0;0;0;0
14.03.2020 00:00:00;Wien;9;1951354;15;95;66;3,382267;1;2;1;4
14.03.2020 00:00:00;Österreich;10;9027999;183;771;673;7,454587;1;2;3;10
15.03.2020 00:00:00;Burgenland;1;299235;0;12;8;2,673484;0;0;0;0
15.03.2020 00:00:00;Kärnten;2;566166;2;11;8;1,413013;0;0;0;1
15.03.2020 00:00:00;Niederösterreich;3;1708140;41;153;117;6,849555;0;0;1;2
15.03.2020 00:00:00;Oberösterreich;4;1512226;46;203;192;12,69652;0;0;1;2
15.03.2020 00:00:00;Salzburg;5;564293;14;53;47;8,329006;0;0;0;1
15.03.2020 00:00:00;Steiermark;6;1256890;24;108;97;7,717462;0;0;0;0
15.03.2020 00:00:00;Tirol;7;766492;7;217;196;25,57104;0;0;0;2
15.03.2020 00:00:00;Vorarlberg;8;403203;6;59;55;13,64077;0;0;0;0
15.03.2020 00:00:00;Wien;9;1951354;30;125;95;4,868414;1;3;2;6
15.03.2020 00:00:00;Österreich;10;9027999;170;941;815;9,027472;1;3;4;14
16.03.2020 00:00:00;Burgenland;1;299235;0;12;8;2,673484;0;0;0;0
16.03.2020 00:00:00;Kärnten;2;566166;9;20;17;3,002653;0;0;0;1
16.03.2020 00:00:00;Niederösterreich;3;1708140;3;156;117;6,849555;0;0;3;5
16.03.2020 00:00:00;Oberösterreich;4;1512226;12;215;201;13,29166;0;0;0;2
16.03.2020 00:00:00;Salzburg;5;564293;0;53;44;7,797368;0;0;0;1
16.03.2020 00:00:00;Steiermark;6;1256890;5;113;95;7,558339;1;1;0;0
16.03.2020 00:00:00;Tirol;7;766492;2;219;196;25,57104;1;1;1;3
16.03.2020 00:00:00;Vorarlberg;8;403203;3;62;57;14,1368;0;0;0;0
16.03.2020 00:00:00;Wien;9;1951354;1;126;93;4,765922;1;4;7;13
16.03.2020 00:00:00;Österreich;10;9027999;35;976;828;9,171468;3;6;11;25
17.03.2020 00:00:00;Burgenland;1;299235;0;12;8;2,673484;0;0;0;0
17.03.2020 00:00:00;Kärnten;2;566166;4;24;21;3,70916;0;0;1;2
17.03.2020 00:00:00;Niederösterreich;3;1708140;21;177;132;7,727704;0;0;0;5
17.03.2020 00:00:00;Oberösterreich;4;1512226;5;220;190;12,56426;0;0;0;2
17.03.2020 00:00:00;Salzburg;5;564293;0;53;42;7,442942;0;0;0;1
17.03.2020 00:00:00;Steiermark;6;1256890;0;113;94;7,478777;1;2;1;1
17.03.2020 00:00:00;Tirol;7;766492;3;222;187;24,39686;0;1;0;3
17.03.2020 00:00:00;Vorarlberg;8;403203;5;67;53;13,14474;0;0;0;0
17.03.2020 00:00:00;Wien;9;1951354;2;128;86;4,407196;0;4;0;13
17.03.2020 00:00:00;Österreich;10;9027999;40;1016;813;9,005318;1;7;2;27
18.03.2020 00:00:00;Burgenland;1;299235;0;12;6;2,005113;0;0;0;0
18.03.2020 00:00:00;Kärnten;2;566166;2;26;21;3,70916;0;0;0;2
18.03.2020 00:00:00;Niederösterreich;3;1708140;7;184;131;7,669161;1;1;0;5
18.03.2020 00:00:00;Oberösterreich;4;1512226;2;222;165;10,91107;1;1;0;2
18.03.2020 00:00:00;Salzburg;5;564293;1;54;42;7,442942;0;0;0;1
18.03.2020 00:00:00;Steiermark;6;1256890;6;119;91;7,240093;1;3;0;1
18.03.2020 00:00:00;Tirol;7;766492;8;230;159;20,74386;0;1;1;4
18.03.2020 00:00:00;Vorarlberg;8;403203;1;68;51;12,64872;0;0;0;0
18.03.2020 00:00:00;Wien;9;1951354;2;130;68;3,48476;0;4;1;14
18.03.2020 00:00:00;Österreich;10;9027999;29;1045;734;8,130262;3;10;2;29
19.03.2020 00:00:00;Burgenland;1;299235;1;13;5;1,670928;0;0;0;0
19.03.2020 00:00:00;Kärnten;2;566166;3;29;22;3,885786;0;0;0;2
19.03.2020 00:00:00;Niederösterreich;3;1708140;4;188;131;7,669161;0;1;1;6
19.03.2020 00:00:00;Oberösterreich;4;1512226;2;224;151;9,98528;0;1;0;2
